Sample_ID,Cluster
7316-2151,1
7316-2155,2
7316-2141,1
7316-487,3
7316-1774,4
7316-2933,2
7316-6,2
7316-2193,3
7316-154,3
7316-162,4
7316-314,2
7316-882,4
7316-2184,3
7316-2581,3
7316-168,3
7316-2901,3
7316-2986,2
7316-3020,1
7316-370,4
7316-451,1
7316-304,2
7316-148,4
7316-490,1
7316-358,2
7316-870,4
7316-38,2
7316-167,4
7316-347,2
7316-875,4
7316-373,4
7316-905,4
7316-376,1
7316-913,4
7316-2669,3
7316-198,1
7316-1784,1
7316-449,4
7316-891,4
7316-1767,3
7316-3575,4
7316-1775,1
7316-235,3
7316-475,3
7316-146,3
7316-445,4
7316-2648,1
7316-936,3
7316-217,4
7316-3060,3
7316-3065,3
7316-2167,3
7316-499,3
7316-195,3
7316-362,3
7316-2666,4
7316-1781,1
7316-3572,4
7316-2169,2
7316-1763,4
7316-2157,1
7316-176,1
7316-898,3
7316-341,4
7316-922,2
7316-1793,4
7316-2152,4
7316-3292,1
7316-91,4
7316-2183,1
7316-1746,1
7316-452,4
7316-3025,2
7316-954,4
7316-946,3
7316-321,4
7316-32,3
7316-1455,1
7316-119,3
7316-70,4
7316-278,2
7316-134,3
7316-2195,4
7316-226,1
7316-178,2
7316-2663,3
7316-3319,1
7316-1854,4
7316-3316,4
7316-932,4
7316-2582,3
7316-2146,1
7316-306,2
7316-230,4
7316-100,4
7316-884,1
7316-1748,1
7316-485,3
7316-1886,1
7316-407,2
7316-332,3
7316-2170,1
7316-3566,3
7316-164,1
7316-3055,3
7316-2172,3
7316-371,4
7316-359,4
7316-189,4
7316-47,1
7316-2176,3
7316-345,3
7316-2583,4
7316-3556,4
7316-937,2
7316-1790,1
7316-3303,3
7316-368,3
7316-872,1
7316-472,3
7316-117,3
7316-2181,2
7316-400,3
7316-175,3
7316-344,3
7316-3769,4
7316-2757,1
7316-384,1
7316-393,3
7316-1751,3
7316-2186,1
7316-3299,1
7316-121,3
7316-1786,1
7316-2140,2
7316-387,1
7316-186,3
7316-2959,1
7316-897,2
7316-2751,1
7316-957,3
7316-153,2
7316-3308,3
7316-3765,4
7316-1845,3
7316-869,4
7316-931,2
7316-3571,1
7316-3570,4
7316-394,1
7316-350,3
7316-1773,1
7316-459,3
7316-196,4
7316-166,3
7316-114,3
7316-442,3
7316-2594,4
7316-2760,4
7316-222,3
7316-302,2
7316-391,3
7316-889,1
7316-906,2
7316-3773,4
7316-2154,1
7316-409,4
7316-3070,1
7316-914,1
7316-3022,3
7316-466,4
7316-127,3
7316-156,1
7316-9,3
7316-918,1
7316-388,4
7316-2758,1
7316-397,4
7316-949,1
7316-20,3
7316-173,3
7316-2182,1
7316-2723,4
7316-120,4
7316-122,1
7316-3062,3
7316-207,3
7316-2174,4
7316-1771,4
7316-1760,3
7316-3,1
7316-1769,3
7316-319,4
7316-2187,1
7316-193,4
7316-380,1
7316-938,3
7316-495,4
7316-313,2
7316-3068,4
7316-2178,2
7316-88,1
7316-2664,1
7316-2156,2
7316-3555,3
7316-2755,3
7316-84,4
7316-460,3
7316-3045,1
7316-1789,4
7316-77,3
7316-944,3
7316-2899,1
7316-3069,1
7316-101,4
7316-2667,3
7316-893,4
7316-496,1
7316-441,3
7316-2671,1
7316-479,4
7316-2147,3
7316-892,1
7316-925,4
7316-329,3
7316-878,2
7316-124,1
7316-2729,3
7316-895,2
7316-3300,1
7316-443,1
7316-1851,3
7316-455,1
7316-206,3
7316-873,1
7316-111,1
7316-160,1
7316-89,4
7316-1772,4
