,Rank
miR-30a-5p,1
miR-429,1
miR-519a-3p,1
miR-212-3p,1
miR-542-5p,1
miR-329-3p,1
miR-424-3p,1
miR-216a-3p,1
miR-128-3p,1
miR-20b-5p,1
miR-20a-5p,1
miR-410-3p,1
miR-335-3p,1
miR-339-3p,1
miR-205-5p,1
miR-210-3p,1
miR-92b-3p,1
miR-216a-5p,1
miR-216b-5p,1
miR-124-3p,1
miR-23c,1
miR-124-5p,1
miR-6727-5p,1
miR-1251-3p,1
miR-22-3p,1
miR-216b-3p,1
miR-4423-5p,1
miR-4423-3p,1
miR-222-3p,1
miR-5010-3p,1
miR-219a-1-3p,1
miR-4324,1
miR-217,1
miR-320e,1
miR-6738-5p,1
miR-92a-3p,1
miR-200b-3p,1
miR-141-3p,1
miR-141-5p,1
miR-195-3p,1
miR-34c-5p,1
miR-1915-3p,1
miR-375,1
miR-139-5p,1
miR-30a-3p,1
miR-15b-3p,1
miR-17-3p,1
miR-17-5p,1
miR-6516-3p,1
miR-6516-5p,1
miR-182-5p,1
miR-7-2-3p,1
miR-200c-3p,1
miR-139-3p,1
miR-34c-3p,1
miR-200a-5p,1
miR-200a-3p,1
miR-1307-5p,1
miR-19b-3p,1
miR-130b-5p,1
miR-346,1
miR-138-5p,1
miR-19b-1-5p,1
miR-769-5p,1
miR-19a-3p,1
miR-34a-5p,1
miR-34b-3p,1
miR-34b-5p,1
miR-135a-5p,1
miR-132-3p,1
miR-1237-5p,1
miR-328-3p,1
miR-491-5p,1
miR-676-3p,1
miR-29a-3p,1
miR-1180-3p,1
miR-3182,1
miR-106b-5p,1
miR-106b-3p,1
miR-101-5p,1
miR-101-3p,1
miR-873-5p,1
miR-96-5p,1
miR-301b,1
miR-30c-5p,1
miR-30c-2-3p,1
miR-887-3p,1
miR-4705,1
miR-93-3p,1
miR-93-5p,1
miR-30b-5p,1
miR-4636,1
miR-31-5p,1
miR-487a-3p,1
miR-183-5p,1
miR-3180-3p,1
miR-2681-3p,1
miR-488-5p,1
miR-25-3p,1
miR-25-5p,1
miR-125b-2-3p,2
miR-32-5p,3
miR-129-5p,4
miR-146b-5p,5
miR-3654,6
miR-668-3p,7
miR-935,8
miR-489-3p,9
miR-301a-3p,10
miR-22-5p,11
miR-433-3p,12
miR-2115-5p,13
miR-378b,14
miR-4632-5p,15
miR-135b-5p,16
miR-625-5p,17
miR-449a,18
miR-92b-5p,19
miR-200b-5p,20
miR-149-5p,21
miR-106a-5p,22
miR-212-5p,23
miR-1290,24
miR-1247-5p,25
miR-34a-3p,26
miR-221-5p,27
miR-187-3p,28
miR-885-5p,29
miR-135a-3p,30
miR-29c-3p,31
miR-323a-5p,32
miR-3667-5p,33
miR-130b-3p,34
miR-196b-5p,35
miR-137,36
miR-326,37
miR-654-5p,38
miR-2110,39
miR-92a-1-5p,40
miR-449b-5p,41
miR-340-5p,42
miR-7705,43
miR-18b-5p,44
miR-219a-2-3p,45
miR-4795-3p,46
miR-503-5p,47
miR-589-5p,48
miR-205-3p,49
miR-23b-5p,50
miR-551a,51
miR-138-2-3p,52
miR-218-5p,53
miR-125b-1-3p,54
miR-148a-3p,55
miR-301a-5p,56
miR-1180-5p,57
miR-1301-3p,58
miR-1197,59
miR-1306-5p,60
miR-487b-3p,61
miR-20a-3p,62
miR-485-5p,63
miR-487a-5p,64
miR-195-5p,65
miR-376a-5p,66
miR-330-5p,67
miR-136-5p,68
miR-190b,69
miR-30d-5p,70
miR-15a-5p,71
miR-192-5p,72
miR-3200-5p,73
miR-3180,74
miR-211-5p,75
miR-378h,76
miR-19a-5p,77
miR-29b-3p,78
miR-1228-3p,79
miR-184,80
miR-488-3p,81
miR-221-3p,82
miR-378a-3p,83
miR-3653,84
miR-26b-5p,85
miR-7-1-3p,86
miR-4734,87
miR-27b-5p,88
miR-222-5p,89
miR-27a-5p,90
miR-29c-5p,91
miR-431-5p,92
miR-26a-1-3p,93
miR-138-1-3p,94
miR-194-5p,95
miR-1225-5p,96
miR-150-5p,97
miR-4795-5p,98
miR-6781-5p,99
miR-654-3p,100
miR-10a-5p,101
miR-342-5p,102
miR-516a-5p,103
miR-2682-3p,104
miR-3943,105
miR-125a-5p,106
miR-3648,107
miR-143-3p,108
miR-760,109
miR-497-3p,110
miR-146b-3p,111
miR-1185-2-3p,112
miR-7-5p,113
miR-487b-5p,114
miR-196a-5p,115
miR-582-5p,116
miR-299-3p,117
miR-145-5p,118
miR-1296-5p,119
miR-153-3p,120
miR-140-5p,121
miR-15b-5p,122
miR-27b-3p,123
miR-6722-3p,124
miR-146a-5p,125
miR-2861,126
miR-185-3p,127
miR-561-5p,128
miR-9-3p,129
miR-874-5p,130
miR-770-5p,131
miR-10b-5p,132
miR-4510,133
miR-210-5p,134
miR-758-3p,135
miR-152-3p,136
miR-186-5p,137
miR-493-5p,138
miR-660-5p,139
miR-127-3p,140
miR-191-5p,141
miR-500a-3p,142
miR-107,143
miR-24-3p,144
miR-151a-3p,145
