Sample_ID,class,miR-30a-5p,miR-429,miR-519a-3p,miR-212-3p,miR-542-5p,miR-329-3p,miR-424-3p,miR-216a-3p,miR-128-3p,miR-20b-5p,miR-20a-5p,miR-410-3p,miR-335-3p,miR-339-3p,miR-205-5p,miR-210-3p,miR-92b-3p,miR-216a-5p,miR-216b-5p,miR-124-3p,miR-23c,miR-124-5p,miR-6727-5p,miR-1251-3p,miR-22-3p,miR-216b-3p,miR-4423-5p,miR-4423-3p,miR-222-3p,miR-5010-3p,miR-219a-1-3p,miR-4324,miR-217,miR-320e,miR-6738-5p,miR-92a-3p,miR-200b-3p,miR-141-3p,miR-141-5p,miR-195-3p,miR-34c-5p,miR-1915-3p,miR-375,miR-139-5p,miR-30a-3p,miR-15b-3p,miR-17-3p,miR-17-5p,miR-6516-3p,miR-6516-5p,miR-182-5p,miR-7-2-3p,miR-200c-3p,miR-139-3p,miR-34c-3p,miR-200a-5p,miR-200a-3p,miR-1307-5p,miR-19b-3p,miR-130b-5p,miR-346,miR-138-5p,miR-19b-1-5p,miR-769-5p,miR-19a-3p,miR-34a-5p,miR-34b-3p,miR-34b-5p,miR-135a-5p,miR-132-3p,miR-1237-5p,miR-328-3p,miR-491-5p,miR-676-3p,miR-29a-3p,miR-1180-3p,miR-3182,miR-106b-5p,miR-106b-3p,miR-101-5p,miR-101-3p,miR-873-5p,miR-96-5p,miR-301b,miR-30c-5p,miR-30c-2-3p,miR-887-3p,miR-4705,miR-93-3p,miR-93-5p,miR-30b-5p,miR-4636,miR-31-5p,miR-487a-3p,miR-183-5p,miR-3180-3p,miR-2681-3p,miR-488-5p,miR-25-3p,miR-25-5p
104-7316-2187_1,ATRT,12089,28,24,222,52,145,121,20,3166,7521,8134,177,29,49,16,7272,7550,35,21,1238,1352,34,12093,16,37528,13,72,82,58593,80,10,2670,36,1274,621,15090,64,159,14,49,257,1520,18,260,818,564,1272,12061,110,319,1187,15,152,13,26,22,71,162,25052,953,31,906,163,477,9590,27287,567,493,23,1593,23374,1000,103,13,21191,408,156,8284,555,53,3628,174,1853,1347,20861,103,185,9,359,10242,10603,34,26035,80,504,741,17,3,7655,46
104-7316-122_1,ATRT,5877,40,66,1697,95,498,453,45,2074,5498,8339,802,52,62,33,226,6110,67,36,146,275,37,9392,42,35338,39,51,47,23367,63,53,2136,61,1565,624,17378,36,88,33,31,255,1541,34,338,108,240,1556,10581,238,572,150,362,54,35,68,37,42,214,28354,195,24,52,177,425,8507,23464,314,350,17,16429,16594,1376,99,37,45047,103,95,11073,690,444,16517,23,144,217,16450,45,176,37,396,9072,9955,30,54,230,43,930,22,29,9881,49
104-7316-2186_1,ATRT,26044,7,20,116,8,58,22,15,2187,28073,10169,80,90,40,25,5423,23414,1112,50,7096,537,72,7825,55,13688,0,12,21,32221,24,19,2094,245,1042,436,52002,51,13,4,12,947,1150,241,139,2773,200,1166,29663,112,278,49,2,11,5,143,4,33,159,67401,236,8,852,161,396,8513,11148,410,260,18092,1947,14478,1193,46,4,1825,578,179,8862,464,309,12425,167,54,179,32836,182,201,2,334,12609,20033,10,671,31,17,380,3,2,7561,33
104-7316-2933_1,ATRT,23123,4,200,130,59,105,182,28,3467,29487,31094,245,74,48,119,8420,18313,4433,2378,3856,1122,73,17406,90,11695,52,5,7,52136,42,227,465,1933,1193,835,44066,35,1253,6,11,99,3180,283,87,1554,467,3441,46790,230,491,2632,18,913,4,9,3,29,195,83488,1407,12,151,472,403,36193,4856,431,91,6886,865,32573,703,108,0,4163,489,177,24626,1086,41,7484,59,3818,4321,32135,150,21,0,812,30348,27993,4,84,102,1422,907,0,1,18862,130
104-7316-1771_1,ATRT,13126,3,0,219,14,1800,35,3,5145,10006,11733,929,514,51,5,7314,18500,7,13,58235,2463,729,12026,2,12093,3,13,22,20021,39,40,3101,8,1741,1234,26783,12,42,2,70,343,1732,2,415,552,506,1571,17102,228,553,201,3,38,10,47,3,18,252,41827,1574,7,274,167,1483,14602,12368,559,217,520,2111,13272,2730,221,0,6199,692,117,14429,1010,132,10014,13,293,1911,27166,59,31,96,427,14844,20901,3,19,214,86,298,21,0,16869,78
104-7316-918_1,ATRT,3191,10,0,170,30,171,83,1,679,3883,7184,260,66,24,244,2907,4476,3,0,77,134,0,13654,0,22410,0,0,1,35418,11,2,298,3,1215,824,13276,22,50,1,27,57,2652,12,207,84,230,727,7862,127,175,172,0,23,14,8,3,34,65,23778,81,7,14,29,91,8169,5883,194,112,0,1250,11197,262,40,14,24126,37,85,6948,336,133,9492,14,198,58,3590,3,35,1,110,5251,3585,0,10083,125,98,189,0,3,9162,14
104-7316-376_1,ATRT,9122,4,64,890,11,103,172,2,2892,21204,32146,72,211,34,22,1350,20078,26,10,88,370,5,5160,0,28799,0,2,0,310,25,14,4773,43,1221,302,63590,21,181,5,16,247,1240,4,186,160,271,3814,40251,98,338,41,7,114,3,15,1,9,195,100331,376,12,52,471,594,35245,2209,771,81,7,8004,12581,1120,127,6,1884,198,51,19024,801,216,12585,2,80,255,27940,36,256,1,572,20850,16420,55,19,48,9,248,1,3,25584,81
104-7316-1781_1,ATRT,10139,2,6,753,13,384,17,1,3180,6577,7058,282,81,90,22,7235,17126,41,20,1007,251,17,10477,7,29585,0,21,22,50495,44,33,6799,38,1467,983,19715,9,269,3,309,153,2077,17,152,641,939,932,13044,215,646,212,11,169,6,6,7,8,430,18151,912,10,124,93,777,5612,12134,649,195,1322,4099,18104,3809,112,3,33238,1047,126,23522,1370,151,5350,28,326,891,22095,78,2858,3,871,24436,9312,4,23,239,107,499,3,2,20533,95
104-7316-878_1,ATRT,7901,67,183,192,305,554,1154,86,5716,7593,8383,436,137,104,172,5490,10242,4274,2234,21495,468,225,9084,76,18291,79,66,55,32358,83,84,3281,1348,1361,779,20452,132,318,76,90,160,1241,92,339,366,323,1151,12853,196,340,7128,61,184,66,75,63,99,186,28945,622,56,2174,209,506,12517,1152,480,75,5381,1195,8910,703,210,53,17372,223,264,11210,760,268,9636,93,12824,510,14917,72,125,65,415,11029,9573,54,1213,325,3331,323,49,63,17346,86
104-7316-2141_1,ATRT,10441,0,635,367,56,580,136,0,4782,56607,35917,923,234,41,37737,4097,16763,124,39,8011,392,116,14725,22,17185,0,1,1,9933,21,14,1554,35,1216,674,50455,16,1250,7,19,302,3392,680,185,203,460,4143,70145,235,744,3117,18,696,12,31,11,27,201,144826,918,4,137,505,535,46017,9923,541,172,2951,2416,41622,251,139,0,4855,292,1735,28460,578,114,10428,132,5051,2864,24376,30,192,0,719,33192,15128,2,139,408,1459,864,1,0,20345,131
