Sample_ID,class,miR-25-3p,miR-106b-3p,miR-217,miR-200c-3p,miR-4423-3p,miR-346,miR-4423-5p,miR-200a-3p,miR-106b-5p,miR-205-5p
104-7316-2187_1,ATRT,7655,555,36,152,82,31,72,71,8284,16
104-7316-122_1,ATRT,9881,690,61,54,47,24,51,42,11073,33
104-7316-2186_1,ATRT,7561,464,245,11,21,8,12,33,8862,25
104-7316-2933_1,ATRT,18862,1086,1933,913,7,12,5,29,24626,119
104-7316-1771_1,ATRT,16869,1010,8,38,22,7,13,18,14429,5
104-7316-918_1,ATRT,9162,336,3,23,1,7,0,34,6948,244
104-7316-376_1,ATRT,25584,801,43,114,0,12,2,9,19024,22
104-7316-1781_1,ATRT,20533,1370,38,169,22,10,21,8,23522,22
104-7316-878_1,ATRT,17346,760,1348,184,55,56,66,99,11210,172
104-7316-2141_1,ATRT,20345,578,35,696,1,4,1,27,28460,37737
104-7316-1790_1,ATRT,22773,961,48,195,20,3,12,51,13983,42
104-7316-2582_1,ATRT,8615,404,326,161,18,55,12,183,8663,53
104-7316-2181_1,ATRT,8262,445,2133,109,24,18,33,157,8655,433
112-7316-479_1,ATRT,5615,335,66,23,4,297,3,37,8188,14
112-7316-3045_1,ATRT,11891,827,13,265,6,46,6,14,15325,366327
104-7316-3020_1,Craniopharyngioma,9368,385,6,28438,7,6,6,28342,9524,368926
104-7316-100_1,Craniopharyngioma,8977,357,41,27069,57,119,43,22064,8060,273093
104-7316-3773_1,Craniopharyngioma,7675,309,47,23893,23,152,22,19991,8506,287389
104-7316-387_1,Craniopharyngioma,9276,346,8,26146,3,16,9,24500,8633,369089
104-7316-3316_1,Craniopharyngioma,3673,270,24,22383,23,9,7,30816,4986,415
104-7316-3571_1,Craniopharyngioma,9656,373,10,12763,18,8,2,8304,10412,99020
104-7316-3070_1,Craniopharyngioma,4999,248,5,21556,10,7,5,14001,5859,164609
104-7316-949_1,Craniopharyngioma,8814,391,18,24269,13,76,1,25810,9715,319131
104-7316-1775_1,Craniopharyngioma,6293,326,9,22883,15,19,3,19833,7291,313611
104-7316-341_1,Craniopharyngioma,10024,525,23,30648,48,248,25,23668,11750,365620
104-7316-2183_1,Craniopharyngioma,8954,431,27,23579,18,150,18,18018,10086,310601
104-7316-1748_1,Craniopharyngioma,7544,330,1,4344,4,1,2,3693,6368,71841
104-7316-2671_1,Craniopharyngioma,5437,239,9,10203,3,2,4,12869,6346,27053
104-7316-166_1,Craniopharyngioma,7255,325,30,6225,144,359,69,6262,7401,68510
104-7316-380_1,Craniopharyngioma,8584,366,31,23172,9,15,5,20853,9576,276403
104-7316-124_1,Craniopharyngioma,9244,425,21,28987,3,1,0,28811,9409,521055
104-7316-2157_1,Craniopharyngioma,5993,279,26,15181,38,253,17,13490,6433,216845
104-7316-1751_1,Craniopharyngioma,14479,676,76,102,14,226,7,159,12863,119
112-7316-164_1,Craniopharyngioma,13035,475,5,55,2,9,1,87,9419,451
112-7316-1773_1,Craniopharyngioma,6546,291,118,96,25,21,22,106,5248,253
112-7316-226_1,Craniopharyngioma,9730,506,27,17755,14,99,12,14540,9594,205999
104-7316-3069_1,Ependymoma,14173,463,78,40,2323,149,2273,159,10448,5
104-7316-3299_1,Ependymoma,4062,246,6,12,17,76,8,39,4905,8
104-7316-111_1,Ependymoma,18437,949,26,53,435,559,228,150,17789,8
104-7316-872_1,Ependymoma,9077,451,31,55,342,200,206,146,8262,16
104-7316-2757_1,Ependymoma,7446,248,66,58,600,158,612,369,5304,50
104-7316-3_1,Ependymoma,10784,307,22,44,833,80,469,835,6447,1039
104-7316-189_1,Ependymoma,22115,1385,19,26,88,309,76,82,20651,100
104-7316-130_1,Ependymoma,7662,789,24,165,3,179,2,224,17538,5
104-7316-160_1,Ependymoma,16800,549,41,46,294,211,172,349,14080,8
104-7316-394_1,Ependymoma,10839,448,149,22,448,256,245,294,9706,6
104-7316-198_1,Ependymoma,17181,398,15,39,1292,97,670,97,11816,6
104-7316-47_1,Ependymoma,15120,954,12,5,36,54,14,100,19243,2
104-7316-384_1,Ependymoma,10502,470,19,36,392,302,273,325,9861,1
104-7316-3319_1,Ependymoma,11230,348,22,8,533,159,275,168,9644,2
104-7316-2959_1,Ependymoma,11934,713,625,63,88,919,53,110,10765,1
104-7316-2666_1,Ependymoma,24870,1339,73,28,144,838,86,842,30681,49
104-7316-3300_1,Ependymoma,11078,756,67,48,260,160,190,154,12933,7
104-7316-1886_1,Ependymoma,12036,424,41,25,275,49,144,150,9601,2
104-7316-2170_1,Ependymoma,12760,613,24,15,336,52,113,122,11288,1
104-7316-3292_1,Ependymoma,5614,334,25,19,140,174,126,117,5212,1
104-7316-2182_1,Ependymoma,10830,462,29,49,214,99,158,235,9164,3
104-7316-451_1,Ependymoma,42172,1532,11,8,108,95,86,282,51858,12
104-7316-443_1,Ependymoma,11026,490,110,24,240,17,149,459,9680,13
104-7316-889_1,Ependymoma,17960,724,63,54,331,184,177,316,16610,4
104-7316-873_1,Ependymoma,20171,774,40,102,498,327,264,211,17712,16
104-7316-2648_1,Ependymoma,23505,736,11,130,2610,156,1860,595,16214,17
104-7316-174_1,Ependymoma,8347,338,92,18,31,15,15,46,7428,1
104-7316-455_1,Ependymoma,11841,513,12,49,187,51,114,127,11882,8
104-7316-1784_1,Ependymoma,21408,873,32,10,170,24,60,443,16212,7
104-7316-2156_1,Ependymoma,18974,616,1465,43,637,128,274,218,22375,2
104-7316-1786_1,Ependymoma,10791,409,522,36,244,50,75,148,10069,6
112-7316-490_1,Ependymoma,24138,895,33,45,703,163,414,69,20622,6
112-7316-2758_1,Ependymoma,11955,579,41,95,988,266,907,416,12207,5
112-7316-496_1,Ependymoma,43470,1483,90,87,1050,717,492,678,30060,20
112-7316-88_1,Ependymoma,15345,715,107,38,181,121,99,89,12262,6
112-7316-892_1,Ependymoma,13689,589,27,57,259,305,125,203,11463,16
104-7316-452_1,Ganglioglioma,4769,359,17,111,13,636,13,166,5864,23
104-7316-120_1,Ganglioglioma,6812,365,37,59,8,481,7,124,6771,12
104-7316-914_1,Ganglioglioma,8769,496,29,84,30,470,8,71,9898,4
104-7316-91_1,Ganglioglioma,4983,321,29,113,8,840,15,308,4856,22
104-7316-230_1,Ganglioglioma,28104,1226,94,290,226,1339,137,975,28549,46
104-7316-359_1,Ganglioglioma,2034,162,10,21,1,441,0,42,3621,12
104-7316-156_1,Ganglioglioma,5302,227,93,187,39,374,24,214,5179,24
104-7316-893_1,Ganglioglioma,8517,385,31,106,44,690,7,433,8535,11
104-7316-1793_1,Ganglioglioma,5810,433,46,133,18,589,4,118,6526,14
104-7316-2901_1,Ganglioglioma,8313,484,160,70,45,167,13,123,10227,17
112-7316-3572_1,Ganglioglioma,10755,646,40,119,6,1061,2,213,8983,20
112-7316-905_1,Ganglioglioma,9208,666,15,102,3,635,3,205,10041,20
112-7316-1854_1,Ganglioglioma,10345,745,69,100,27,1079,3,174,9356,27
112-7316-3060_1,Ganglioglioma,20478,1163,299,203,68,804,9,214,16514,19
112-7316-321_1,Ganglioglioma,6012,389,17,44,5,1024,3,146,6637,19
112-7316-101_1,Ganglioglioma,9217,747,27,221,39,1014,1,205,9768,12
112-7316-2760_1,Ganglioglioma,7674,576,26,37,7,1336,13,212,7915,14
112-7316-373_1,Ganglioglioma,25324,1408,24,52,80,279,10,40,19137,18
112-7316-319_1,Ganglioglioma,6780,419,58,37,16,513,4,53,6216,44
104-7316-212_1,HGAT,9154,954,38,134,8,249,7,392,17484,12
104-7316-870_1,HGAT,10304,519,25,99,4,181,0,173,10919,5
104-7316-388_1,HGAT,6394,529,123,134,4,260,8,146,11408,7
104-7316-2176_1,HGAT,11000,487,289,64,6,533,0,73,11071,3
104-7316-1789_1,HGAT,10170,427,16,514,198,335,112,281,10242,13
104-7316-37_1,HGAT,26348,1111,6437,22,4,45,4,18,27513,2
104-7316-195_1,HGAT,23272,1361,38,74,0,218,2,86,24602,47
104-7316-2146_1,HGAT,12386,350,57,110,470,289,136,10859,8263,463
104-7316-1774_1,HGAT,13452,746,862,162,23,454,7,342,11939,20
104-7316-2152_1,HGAT,17054,532,59,231,1,199,1,109,13933,12
104-7316-2594_1,HGAT,18352,815,60,127,3,258,1,143,21781,8
104-7316-89_1,HGAT,14035,669,23,89,33,600,12,243,14287,11
104-7316-2151_1,HGAT,10660,472,14,73,262,594,103,223,10427,5
108-7316-3765_1,HGAT,7532,207,2412,24,0,95,0,53,5212,6
108-7316-3022_1,HGAT,7032,240,162,36,0,63,0,73,5393,2
108-7316-913_1,HGAT,9093,549,56,49,1,113,2,115,12919,1
108-7316-870_1,HGAT,3930,239,19,56,0,117,0,50,4896,4
108-7316-409_1,HGAT,4582,241,11,32,0,146,4,46,3980,1
108-7316-1455_1,HGAT,6446,303,23,221,13,2,3,11,3533,3
108-7316-466_1,HGAT,1800,194,196,3,0,246,0,33,2615,0
108-7316-445_1,HGAT,2393,108,34,168,22,108,15,90,1623,4
108-7316-2140_1,HGAT,15044,579,140,14,0,12,0,2,10926,1
108-7316-895_1,HGAT,5067,201,1035,16,9,106,1,1168,3780,38
108-7316-1769_1,HGAT,4408,347,70,27,0,110,1,41,5573,1
108-7316-114_1,HGAT,9306,399,40,45,0,159,1,13,9083,1
108-7316-1763_1,HGAT,3936,237,25,9,0,63,0,58,4173,1
108-7316-1746_1,HGAT,9755,1429,22,150,6,4,0,62,846,2
112-7316-371_1,HGAT,23065,1881,34,80,3,340,3,152,22430,8
112-7316-942_1,HGAT,20642,1399,71,153,18,377,3,96,14222,26
112-7316-2751_1,HGAT,15651,995,45,53,91,232,11,502,10982,94
112-7316-3303_1,HGAT,71389,3606,99,109,4,349,1,300,51871,14
112-7316-3769_1,HGAT,18157,1451,10,42,4,707,4,80,16283,5
112-7316-24_1,HGAT,20610,1717,43,160,15,401,10,87,19539,18
112-7316-339_1,HGAT,14464,555,11,22,1,16,1,6,4403,4
104-7316-70_1,LGAT,9556,486,20,117,49,583,33,211,9683,18
108-7316-3575_1,LGAT,2447,126,6,28,19,129,5,54,2671,1
108-7316-925_1,LGAT,2079,88,9,18,6,139,4,18,1793,1
108-7316-1767_1,LGAT,5041,200,24,20,0,114,1,52,4426,2
108-7316-193_1,LGAT,2490,109,6,13,6,178,1,55,2617,3
108-7316-77_1,LGAT,2498,186,4,7,6,371,2,49,3417,1
108-7316-2663_1,LGAT,2574,156,35,8,16,284,8,40,2793,5
108-7316-2669_1,LGAT,2053,115,1,3,0,210,1,30,2335,10
108-7316-2723_1,LGAT,2116,113,9,22,1,281,1,54,2128,2
108-7316-2755_1,LGAT,2275,162,7,10,2,373,1,28,2943,4
108-7316-954_1,LGAT,4532,154,1467,7,10,245,4,22,4340,4
108-7316-84_1,LGAT,3531,145,15,47,56,175,38,43,3537,6
108-7316-442_1,LGAT,3637,196,15,41,12,270,6,52,3977,10
108-7316-459_1,LGAT,1667,66,9,9,8,194,0,27,1804,1
108-7316-391_1,LGAT,2181,97,23,12,2,273,0,18,2816,3
108-7316-944_1,LGAT,2888,125,17,28,5,109,5,42,2989,4
108-7316-2154_1,LGAT,3344,129,34,25,9,75,0,103,3225,4
108-7316-3065_1,LGAT,2447,106,25,19,0,218,0,39,2524,0
108-7316-146_1,LGAT,2723,126,17,24,21,278,10,30,3044,2
108-7316-3055_1,LGAT,2738,153,6,17,0,222,2,15,2928,3
108-7316-3308_1,LGAT,1704,85,3,11,0,224,3,24,1972,6
108-7316-3062_1,LGAT,2464,121,20,5,3,188,1,4,2727,3
108-7316-2899_1,LGAT,7138,240,712,10,102,119,113,31,6877,4
108-7316-2664_1,LGAT,1831,130,72,11,47,45,31,48,3086,3
108-7316-1851_1,LGAT,2531,148,15,11,15,295,16,36,2803,2
108-7316-3555_1,LGAT,1901,117,4,7,3,219,0,25,2244,2
108-7316-3556_1,LGAT,2312,120,12,22,4,336,0,62,2462,1
108-7316-3561_1,LGAT,1587,70,18,21,2,297,3,16,1733,2
108-7316-3566_1,LGAT,2714,160,15,10,4,362,0,30,2853,3
108-7316-3570_1,LGAT,1791,71,30,22,14,95,3,35,1937,7
108-7316-891_1,LGAT,8026,363,3558,7,4,35,0,22,8800,1
108-7316-344_1,LGAT,4894,253,9,14,1,154,0,30,4578,3
108-7316-217_1,LGAT,1847,103,4,19,34,217,38,86,2058,8
108-7316-368_1,LGAT,3973,248,49,22,3,344,8,51,5531,8
108-7316-898_1,LGAT,3821,165,12,36,2,282,1,26,4232,7
108-7316-20_1,LGAT,2212,169,14,7,1,334,2,22,3081,2
108-7316-235_1,LGAT,3138,137,6,20,4,70,3,29,3450,4
108-7316-162_1,LGAT,2136,100,5,14,4,204,3,18,2358,2
108-7316-148_1,LGAT,1873,91,9,49,18,213,13,27,2209,1
108-7316-168_1,LGAT,2540,112,8,17,1,182,2,26,2691,1
108-7316-472_1,LGAT,2921,166,7,12,22,350,5,42,3206,9
108-7316-175_1,LGAT,2922,137,43,78,32,162,37,114,2536,23
108-7316-449_1,LGAT,2607,131,10,27,9,138,5,118,2633,5
108-7316-495_1,LGAT,1961,103,10,17,7,180,2,12,2299,5
108-7316-1845_1,LGAT,3201,218,8,35,0,247,1,38,4822,3
108-7316-222_1,LGAT,3207,226,15,12,4,222,4,27,4359,4
108-7316-332_1,LGAT,2333,167,11,6,2,235,2,17,2884,6
108-7316-121_1,LGAT,2223,144,6,6,6,260,5,40,2834,3
108-7316-957_1,LGAT,5804,290,15,24,13,399,12,65,6140,8
108-7316-499_1,LGAT,2850,157,8,24,29,147,15,20,3057,6
108-7316-345_1,LGAT,2762,189,9,15,0,402,2,26,3892,9
108-7316-932_1,LGAT,2320,87,15,35,17,107,15,79,2516,0
108-7316-2172_1,LGAT,1949,125,12,10,4,327,8,30,2788,10
108-7316-2184_1,LGAT,3341,177,25,10,4,218,1,35,3932,8
108-7316-485_1,LGAT,3505,174,11,24,13,267,6,34,3269,6
108-7316-880_1,LGAT,3091,178,5,12,8,207,2,35,3426,1
108-7316-362_1,LGAT,2947,133,38,32,6,210,3,83,3084,5
108-7316-117_1,LGAT,2889,116,7,14,10,205,5,26,2971,4
108-7316-134_1,LGAT,2677,162,12,18,8,296,3,48,3160,4
108-7316-2195_1,LGAT,2482,131,8,45,20,255,10,70,2349,3
108-7316-2583_1,LGAT,4166,217,36,20,5,126,3,24,4118,5
108-7316-2581_1,LGAT,2980,101,15,31,16,96,10,50,3186,5
108-7316-186_1,LGAT,2654,113,7,13,56,290,21,65,2590,8
108-7316-206_1,LGAT,2483,158,40,39,39,418,27,62,2910,21
108-7316-207_1,LGAT,2896,174,16,22,1,180,1,57,3171,1
108-7316-176_1,LGAT,3340,149,5,19,513,58,383,62,3500,3
108-7316-119_1,LGAT,3341,190,11,39,2,338,3,35,3968,6
108-7316-127_1,LGAT,2779,152,5,17,6,248,8,28,3192,9
108-7316-2147_1,LGAT,3085,153,13,20,10,136,5,24,2930,7
108-7316-329_1,LGAT,3239,153,8,6,1,156,2,14,3047,1
108-7316-397_1,LGAT,3067,130,19,33,9,247,6,74,2819,0
108-7316-882_1,LGAT,2799,122,11,48,74,203,42,64,2838,9
112-7316-884_1,LGAT,9091,348,129,170,46,62,9,134,7879,12
112-7316-460_1,LGAT,20200,704,2,30,1,47,1,27,18537,0
