Sample_ID,class,miR-135a-5p,miR-106b-5p,miR-93-3p,miR-205-5p,miR-93-5p,miR-200c-3p,miR-200a-3p,miR-19a-3p,miR-25-3p,miR-301b,miR-141-3p,miR-139-5p,miR-34c-5p,miR-34b-5p,miR-346,miR-217,miR-335-3p,miR-128-3p,miR-106b-3p,miR-210-3p,miR-873-5p,miR-216b-5p,miR-216a-5p,miR-4423-3p,miR-4423-5p
104-7316-2187_1,ATRT,23,8284,359,16,10242,152,71,9590,7655,1347,159,260,257,493,31,36,29,3166,555,7272,174,21,35,82,72
104-7316-122_1,ATRT,17,11073,396,33,9072,54,42,8507,9881,217,88,338,255,350,24,61,52,2074,690,226,23,36,67,47,51
104-7316-2186_1,ATRT,18092,8862,334,25,12609,11,33,8513,7561,179,13,139,947,260,8,245,90,2187,464,5423,167,50,1112,21,12
104-7316-2933_1,ATRT,6886,24626,812,119,30348,913,29,36193,18862,4321,1253,87,99,91,12,1933,74,3467,1086,8420,59,2378,4433,7,5
104-7316-1771_1,ATRT,520,14429,427,5,14844,38,18,14602,16869,1911,42,415,343,217,7,8,514,5145,1010,7314,13,13,7,22,13
104-7316-918_1,ATRT,0,6948,110,244,5251,23,34,8169,9162,58,50,207,57,112,7,3,66,679,336,2907,14,0,3,1,0
104-7316-376_1,ATRT,7,19024,572,22,20850,114,9,35245,25584,255,181,186,247,81,12,43,211,2892,801,1350,2,10,26,0,2
104-7316-1781_1,ATRT,1322,23522,871,22,24436,169,8,5612,20533,891,269,152,153,195,10,38,81,3180,1370,7235,28,20,41,22,21
104-7316-878_1,ATRT,5381,11210,415,172,11029,184,99,12517,17346,510,318,339,160,75,56,1348,137,5716,760,5490,93,2234,4274,55,66
104-7316-2141_1,ATRT,2951,28460,719,37737,33192,696,27,46017,20345,2864,1250,185,302,172,4,35,234,4782,578,4097,132,39,124,1,1
104-7316-1790_1,ATRT,8713,13983,736,42,15879,195,51,14188,22773,627,348,246,95,20,3,48,26,4397,961,8843,0,53,121,20,12
104-7316-2582_1,ATRT,210,8663,267,53,7258,161,183,8291,8615,285,289,288,380,293,55,326,78,3837,404,1147,13,21,917,18,12
104-7316-2181_1,ATRT,38972,8655,435,433,11063,109,157,7303,8262,317,150,259,571,153,18,2133,104,5357,445,1598,121,819,13098,24,33
112-7316-479_1,ATRT,154,8188,248,14,4573,23,37,4067,5615,151,73,1028,120,35,297,66,2,157095,335,738,81,31,67,4,3
112-7316-3045_1,ATRT,45,15325,574,366327,15677,265,14,20629,11891,484,367,209,87,68,46,13,438,16204,827,9601,14,0,7,6,6
104-7316-3020_1,Craniopharyngioma,119,9524,281,368926,7034,28438,28342,6361,9368,95,54958,383,629,262,6,6,7,1377,385,2909,55,4,4,7,6
104-7316-100_1,Craniopharyngioma,806,8060,293,273093,7754,27069,22064,7074,8977,120,44031,1927,714,258,119,41,29,8900,357,3532,73,19,48,57,43
104-7316-3773_1,Craniopharyngioma,709,8506,267,287389,6049,23893,19991,6407,7675,116,42668,1263,1869,621,152,47,24,7325,309,7323,132,22,84,23,22
104-7316-387_1,Craniopharyngioma,262,8633,246,369089,6545,26146,24500,6366,9276,95,50774,202,267,103,16,8,16,1184,346,4747,4,2,2,3,9
104-7316-3316_1,Craniopharyngioma,1130,4986,190,415,2537,22383,30816,3548,3673,181,37237,1171,85,67,9,24,7,4271,270,2038,13,25,73,23,7
104-7316-3571_1,Craniopharyngioma,14,10412,171,99020,7717,12763,8304,10221,9656,84,19016,512,1417,404,8,10,10,1778,373,3048,151,7,20,18,2
104-7316-3070_1,Craniopharyngioma,30,5859,151,164609,5141,21556,14001,3756,4999,82,30983,235,483,232,7,5,11,885,248,2950,21,2,11,10,5
104-7316-949_1,Craniopharyngioma,343,9715,282,319131,6368,24269,25810,5347,8814,88,44381,238,394,238,76,18,22,2846,391,2656,7,0,8,13,1
104-7316-1775_1,Craniopharyngioma,109,7291,213,313611,5109,22883,19833,3816,6293,53,39937,227,290,169,19,9,3,1335,326,2482,7,1,9,15,3
104-7316-341_1,Craniopharyngioma,389,11750,403,365620,10609,30648,23668,5584,10024,164,47232,1458,1363,434,248,23,12,9945,525,6281,247,14,50,48,25
104-7316-2183_1,Craniopharyngioma,228,10086,354,310601,7877,23579,18018,4916,8954,101,39246,574,764,337,150,27,14,3822,431,5317,39,5,31,18,18
104-7316-1748_1,Craniopharyngioma,62,6368,100,71841,5976,4344,3693,3956,7544,23,6742,188,88,25,1,1,2,555,330,445,7,2,4,4,2
