,Sample_ID,class,miR-335-3p,miR-205-5p,miR-183-5p,miR-132-3p,miR-182-5p,miR-339-3p,miR-216a-3p,miR-429,miR-17-3p,miR-20a-5p,miR-15b-3p,miR-873-5p,miR-210-3p,miR-4705,miR-135a-5p,miR-138-5p,miR-92a-3p,miR-346,miR-34a-5p,miR-139-3p,miR-34b-3p,miR-139-5p,miR-34b-5p,miR-141-3p,miR-96-5p,miR-34c-3p,miR-25-3p,miR-34c-5p,miR-216a-5p,miR-30a-3p,miR-93-5p,miR-19b-3p,miR-216b-5p,miR-200b-5p,miR-200a-3p,miR-130b-3p,miR-4423-3p,miR-216b-3p,miR-1915-3p,miR-4423-5p,miR-106b-3p,miR-217,miR-128-3p,miR-200c-3p,miR-301b,miR-195-5p,miR-93-3p,miR-375,miR-106b-5p,miR-200b-3p
0,104-7316-2187_1,ATRT,29,16,504,1593,1187,49,20,28,1272,8134,564,174,7272,9,23,906,15090,31,27287,13,567,260,493,159,1853,26,7655,257,35,818,10242,25052,21,6,71,7381,82,13,1520,72,555,36,3166,152,1347,3775,359,18,8284,64
1,104-7316-122_1,ATRT,52,33,43,16429,150,62,45,40,1556,8339,240,23,226,37,17,52,17378,24,23464,35,314,338,350,88,144,68,9881,255,67,108,9072,28354,36,34,42,4954,47,39,1541,51,690,61,2074,54,217,1378,396,34,11073,36
2,104-7316-2186_1,ATRT,90,25,17,1947,49,40,15,7,1166,10169,200,167,5423,2,18092,852,52002,8,11148,5,410,139,260,13,54,143,7561,947,1112,2773,12609,67401,50,0,33,10960,21,0,1150,12,464,245,2187,11,179,1777,334,241,8862,51
3,104-7316-2933_1,ATRT,74,119,1422,865,2632,48,28,4,3441,31094,467,59,8420,0,6886,151,44066,12,4856,4,431,87,91,1253,3818,9,18862,99,4433,1554,30348,83488,2378,1,29,24581,7,52,3180,5,1086,1933,3467,913,4321,1475,812,283,24626,35
4,104-7316-1771_1,ATRT,514,5,86,2111,201,51,3,3,1571,11733,506,13,7314,96,520,274,26783,7,12368,10,559,415,217,42,293,47,16869,343,7,552,14844,41827,13,0,18,15548,22,3,1732,13,1010,8,5145,38,1911,7316,427,2,14429,12
5,104-7316-918_1,ATRT,66,244,98,1250,172,24,1,10,727,7184,230,14,2907,1,0,14,13276,7,5883,14,194,207,112,50,198,8,9162,57,3,84,5251,23778,0,0,34,1912,1,0,2652,0,336,3,679,23,58,3120,110,12,6948,22
6,104-7316-376_1,ATRT,211,22,9,8004,41,34,2,4,3814,32146,271,2,1350,1,7,52,63590,12,2209,3,771,186,81,181,80,15,25584,247,26,160,20850,100331,10,2,9,14758,0,0,1240,2,801,43,2892,114,255,2004,572,4,19024,21
7,104-7316-1781_1,ATRT,81,22,107,4099,212,90,1,2,932,7058,939,28,7235,3,1322,124,19715,10,12134,6,649,152,195,269,326,6,20533,153,41,641,24436,18151,20,1,8,6933,22,0,2077,21,1370,38,3180,169,891,30544,871,17,23522,9
8,104-7316-878_1,ATRT,137,172,3331,1195,7128,104,86,67,1151,8383,323,93,5490,65,5381,2174,20452,56,1152,66,480,339,75,318,12824,75,17346,160,4274,366,11029,28945,2234,46,99,4805,55,79,1241,66,760,1348,5716,184,510,5287,415,92,11210,132
9,104-7316-2141_1,ATRT,234,37737,1459,2416,3117,41,0,0,4143,35917,460,132,4097,0,2951,137,50455,4,9923,12,541,185,172,1250,5051,31,20345,302,124,203,33192,144826,39,0,27,22816,1,0,3392,1,578,35,4782,696,2864,2201,719,680,28460,16
