,Rank
miR-92b-3p,1
miR-22-3p,1
miR-223-5p,1
miR-223-3p,1
miR-222-5p,1
miR-222-3p,1
miR-221-5p,1
miR-221-3p,1
miR-219a-2-3p,1
miR-500a-3p,1
miR-217,1
miR-216b-5p,1
miR-224-5p,1
miR-216b-3p,1
miR-216a-3p,1
miR-215-5p,1
miR-500b-5p,1
miR-5010-3p,1
miR-212-5p,1
miR-212-3p,1
miR-211-5p,1
miR-503-5p,1
miR-2114-5p,1
miR-6771-5p,1
miR-370-3p,1
miR-216a-5p,1
miR-210-3p,1
miR-22-5p,1
miR-23b-3p,1
miR-488-5p,1
miR-489-3p,1
miR-301b,1
miR-301a-3p,1
miR-490-5p,1
miR-29c-5p,1
miR-29b-3p,1
miR-29b-2-5p,1
miR-29b-1-5p,1
miR-29a-3p,1
miR-299-3p,1
miR-23a-3p,1
miR-491-3p,1
miR-491-5p,1
miR-27b-3p,1
miR-26b-5p,1
miR-26a-1-3p,1
miR-495-5p,1
miR-2681-3p,1
miR-25-5p,1
miR-25-3p,1
miR-24-2-5p,1
miR-23c,1
miR-23b-5p,1
miR-2861,1
miR-20b-5p,1
miR-20b-3p,1
miR-20a-5p,1
miR-521,1
miR-190b,1
miR-532-5p,1
miR-1908-5p,1
miR-18b-5p,1
miR-18b-3p,1
miR-18a-3p,1
miR-187-5p,1
miR-187-3p,1
miR-185-5p,1
miR-184,1
miR-519a-3p,1
miR-183-5p,1
miR-182-5p,1
miR-182-3p,1
miR-676-3p,1
miR-542-3p,1
miR-181a-5p,1
miR-542-5p,1
miR-181a-2-3p,1
miR-17-5p,1
miR-17-3p,1
miR-16-1-3p,1
miR-15b-5p,1
miR-183-3p,1
miR-1915-3p,1
miR-191-5p,1
miR-516a-5p,1
miR-20a-3p,1
miR-505-3p,1
miR-208b-3p,1
miR-205-5p,1
miR-205-3p,1
miR-509-3p,1
miR-511-3p,1
miR-200c-3p,1
miR-200b-5p,1
miR-200b-3p,1
miR-200a-5p,1
miR-200a-3p,1
miR-19b-3p,1
miR-19b-1-5p,1
miR-19a-5p,1
miR-19a-3p,1
miR-199b-5p,1
miR-1976,1
miR-196b-5p,1
miR-196b-3p,1
miR-196a-5p,1
miR-196a-3p,1
miR-195-5p,1
miR-195-3p,1
miR-194-5p,1
miR-302b-3p,1
miR-487b-3p,1
miR-487a-5p,1
miR-487a-3p,1
miR-3620-3p,1
miR-4423-3p,1
miR-4423-5p,1
miR-4444,1
miR-95-3p,1
miR-361-3p,1
miR-944,1
miR-7-2-3p,1
miR-3607-5p,1
miR-3607-3p,1
miR-744-5p,1
miR-433-3p,1
miR-6870-5p,1
miR-34c-3p,1
miR-34b-5p,1
miR-34b-3p,1
miR-34a-5p,1
miR-34a-3p,1
miR-346,1
miR-345-5p,1
miR-92b-5p,1
miR-340-5p,1
miR-340-3p,1
miR-33b-5p,1
miR-34c-5p,1
miR-432-5p,1
miR-4324,1
miR-3653,1
miR-374b-3p,1
miR-375,1
miR-376a-5p,1
miR-378b,1
miR-378f,1
miR-96-5p,1
miR-378h,1
miR-379-5p,1
miR-382-5p,1
miR-3682-3p,1
miR-7-1-3p,1
miR-7111-5p,1
miR-409-3p,1
miR-410-3p,1
miR-421,1
miR-3667-5p,1
miR-425-5p,1
miR-3663-5p,1
miR-429,1
miR-4291,1
miR-4306,1
miR-365a-3p,1
miR-431-3p,1
miR-431-5p,1
miR-3654,1
miR-33a-5p,1
miR-15b-3p,1
miR-339-3p,1
miR-335-5p,1
miR-31-5p,1
miR-4705,1
miR-767-3p,1
miR-6781-5p,1
miR-92a-1-5p,1
miR-93-3p,1
miR-769-5p,1
miR-4728-3p,1
miR-877-5p,1
miR-4745-3p,1
miR-4783-3p,1
miR-3162-5p,1
miR-770-5p,1
miR-3115,1
miR-30e-3p,1
miR-30d-3p,1
miR-30c-5p,1
miR-30c-2-3p,1
miR-4795-5p,1
miR-30b-5p,1
miR-30a-5p,1
miR-30a-3p,1
miR-4800-3p,1
miR-485-5p,1
miR-4795-3p,1
miR-885-5p,1
miR-9-3p,1
miR-887-3p,1
miR-335-3p,1
miR-330-5p,1
miR-328-3p,1
miR-326,1
miR-32-5p,1
miR-758-3p,1
miR-323a-5p,1
miR-320e,1
miR-320d,1
miR-320b,1
miR-450a-5p,1
miR-4510,1
miR-7-5p,1
miR-452-5p,1
miR-454-3p,1
miR-454-5p,1
miR-4632-5p,1
miR-4636,1
miR-760,1
miR-3182,1
miR-3180-3p,1
miR-3180,1
miR-92a-3p,1
miR-891a-5p,1
miR-887-5p,1
miR-337-3p,1
miR-15a-5p,1
miR-369-3p,1
miR-138-2-3p,1
miR-1247-5p,1
miR-135b-5p,1
miR-124-5p,1
miR-137,1
miR-138-1-3p,1
miR-6726-3p,1
miR-138-5p,1
miR-139-3p,1
miR-139-5p,1
miR-107,1
miR-1185-1-3p,1
miR-101-5p,1
miR-140-5p,1
miR-129-1-3p,1
miR-141-3p,1
miR-141-5p,1
miR-142-5p,1
miR-873-5p,1
miR-561-5p,1
miR-1307-5p,1
miR-106b-5p,1
miR-1244,1
miR-561-3p,1
miR-1249,1
miR-124-3p,1
miR-126-5p,1
miR-135a-5p,1
miR-10b-3p,1
miR-130b-3p,1
miR-101-3p,1
miR-130b-5p,1
miR-576-3p,1
miR-654-5p,1
miR-625-5p,1
miR-10b-5p,1
miR-1306-5p,1
miR-132-3p,1
miR-658,1
miR-132-5p,1
miR-624-5p,1
miR-1180-3p,1
miR-598-3p,1
miR-93-5p,1
miR-582-5p,1
miR-1180-5p,1
miR-874-3p,1
miR-1304-3p,1
miR-1251-3p,1
miR-660-5p,1
miR-135a-3p,1
miR-6503-5p,1
miR-654-3p,1
miR-10a-5p,1
miR-1197,1
miR-128-1-5p,1
miR-148a-3p,1
miR-6742-5p,1
miR-1227-3p,1
miR-1226-3p,1
miR-149-5p,1
miR-589-5p,1
miR-6727-5p,1
miR-152-3p,1
