Sample_ID,class,miR-92b-3p,miR-22-3p,miR-223-5p,miR-223-3p,miR-222-5p,miR-222-3p,miR-221-5p,miR-221-3p,miR-219a-2-3p,miR-500a-3p,miR-217,miR-216b-5p,miR-224-5p,miR-216b-3p,miR-216a-3p,miR-215-5p,miR-500b-5p,miR-5010-3p,miR-212-5p,miR-212-3p,miR-211-5p,miR-503-5p,miR-2114-5p,miR-6771-5p,miR-370-3p,miR-216a-5p,miR-210-3p,miR-22-5p,miR-23b-3p,miR-488-5p,miR-489-3p,miR-301b,miR-301a-3p,miR-490-5p,miR-29c-5p,miR-29b-3p,miR-29b-2-5p,miR-29b-1-5p,miR-29a-3p,miR-299-3p,miR-23a-3p,miR-491-3p,miR-491-5p,miR-27b-3p,miR-26b-5p,miR-26a-1-3p,miR-495-5p,miR-2681-3p,miR-25-5p,miR-25-3p,miR-24-2-5p,miR-23c,miR-23b-5p,miR-2861,miR-20b-5p,miR-20b-3p,miR-20a-5p,miR-521,miR-190b,miR-532-5p,miR-1908-5p,miR-18b-5p,miR-18b-3p,miR-18a-3p,miR-187-5p,miR-187-3p,miR-185-5p,miR-184,miR-519a-3p,miR-183-5p,miR-182-5p,miR-182-3p,miR-676-3p,miR-542-3p,miR-181a-5p,miR-542-5p,miR-181a-2-3p,miR-17-5p,miR-17-3p,miR-16-1-3p,miR-15b-5p,miR-183-3p,miR-1915-3p,miR-191-5p,miR-516a-5p,miR-20a-3p,miR-505-3p,miR-208b-3p,miR-205-5p,miR-205-3p,miR-509-3p,miR-511-3p,miR-200c-3p,miR-200b-5p,miR-200b-3p,miR-200a-5p,miR-200a-3p,miR-19b-3p,miR-19b-1-5p,miR-19a-5p,miR-19a-3p,miR-199b-5p,miR-1976,miR-196b-5p,miR-196b-3p,miR-196a-5p,miR-196a-3p,miR-195-5p,miR-195-3p,miR-194-5p,miR-302b-3p,miR-487b-3p,miR-487a-5p,miR-487a-3p,miR-3620-3p,miR-4423-3p,miR-4423-5p,miR-4444,miR-95-3p,miR-361-3p,miR-944,miR-7-2-3p,miR-3607-5p,miR-3607-3p,miR-744-5p,miR-433-3p,miR-6870-5p,miR-34c-3p,miR-34b-5p,miR-34b-3p,miR-34a-5p,miR-34a-3p,miR-346,miR-345-5p,miR-92b-5p,miR-340-5p,miR-340-3p,miR-33b-5p,miR-34c-5p,miR-432-5p,miR-4324,miR-3653,miR-374b-3p,miR-375,miR-376a-5p,miR-378b,miR-378f,miR-96-5p,miR-378h,miR-379-5p,miR-382-5p,miR-3682-3p,miR-7-1-3p,miR-7111-5p,miR-409-3p,miR-410-3p,miR-421,miR-3667-5p,miR-425-5p,miR-3663-5p,miR-429,miR-4291,miR-4306,miR-365a-3p,miR-431-3p,miR-431-5p,miR-3654,miR-33a-5p,miR-15b-3p,miR-339-3p,miR-335-5p,miR-31-5p,miR-4705,miR-767-3p,miR-6781-5p,miR-92a-1-5p,miR-93-3p,miR-769-5p,miR-4728-3p,miR-877-5p,miR-4745-3p,miR-4783-3p,miR-3162-5p,miR-770-5p,miR-3115,miR-30e-3p,miR-30d-3p,miR-30c-5p,miR-30c-2-3p,miR-4795-5p,miR-30b-5p,miR-30a-5p,miR-30a-3p,miR-4800-3p,miR-485-5p,miR-4795-3p,miR-885-5p,miR-9-3p,miR-887-3p,miR-335-3p,miR-330-5p,miR-328-3p,miR-326,miR-32-5p,miR-758-3p,miR-323a-5p,miR-320e,miR-320d,miR-320b,miR-450a-5p,miR-4510,miR-7-5p,miR-452-5p,miR-454-3p,miR-454-5p,miR-4632-5p,miR-4636,miR-760,miR-3182,miR-3180-3p,miR-3180,miR-92a-3p,miR-891a-5p,miR-887-5p,miR-337-3p,miR-15a-5p,miR-369-3p,miR-138-2-3p,miR-1247-5p,miR-135b-5p,miR-124-5p,miR-137,miR-138-1-3p,miR-6726-3p,miR-138-5p,miR-139-3p,miR-139-5p,miR-107,miR-1185-1-3p,miR-101-5p,miR-140-5p,miR-129-1-3p,miR-141-3p,miR-141-5p,miR-142-5p,miR-873-5p,miR-561-5p,miR-1307-5p,miR-106b-5p,miR-1244,miR-561-3p,miR-1249,miR-124-3p,miR-126-5p,miR-135a-5p,miR-10b-3p,miR-130b-3p,miR-101-3p,miR-130b-5p,miR-576-3p,miR-654-5p,miR-625-5p,miR-10b-5p,miR-1306-5p,miR-132-3p,miR-658,miR-132-5p,miR-624-5p,miR-1180-3p,miR-598-3p,miR-93-5p,miR-582-5p,miR-1180-5p,miR-874-3p,miR-1304-3p,miR-1251-3p,miR-660-5p,miR-135a-3p,miR-6503-5p,miR-654-3p,miR-10a-5p,miR-1197,miR-128-1-5p,miR-148a-3p,miR-6742-5p,miR-1227-3p,miR-1226-3p,miR-149-5p,miR-589-5p,miR-6727-5p,miR-152-3p,miR-6516-5p,miR-655-3p,miR-153-3p,miR-6126,miR-1537-3p,miR-548d-5p,miR-1207-3p,miR-548aw,miR-106a-5p,miR-125b-2-3p,miR-6516-3p,miR-656-3p,miR-125b-1-3p,miR-125a-5p,miR-1228-3p,miR-671-3p,miR-1237-5p,miR-668-3p,miR-670-5p,miR-618,miR-106b-3p,miR-1468-5p,miR-125a-3p,miR-590-5p,miR-6511a-3p,miR-876-3p,miR-128-3p,miR-935,miR-584-5p,miR-1296-5p,miR-551a,miR-615-3p,miR-146b-5p
104-7316-2187_1,ATRT,7550,37528,40,2137,716,58593,878,55618,26,341,36,21,158,13,20,8,332,80,46,222,10,142,19,329,115,35,7272,1985,44590,3,13,1347,8592,17,107,17993,88,175,21191,82,53501,27,103,35061,17655,142,29,17,46,7655,474,1352,51,50516,7521,31,8134,14,19,1960,438,375,24,147,90,363,1358,28,24,504,1187,26,13,85,25979,52,370,12061,1272,324,17651,35,1520,9344,15,659,501,16,16,20,11,62,152,6,64,22,71,25052,163,33,9590,4665,21,21,21,23,13,3775,49,331,21,231,22,80,58,82,72,298,165,568,2,15,17419,2414,535,31,109,26,493,567,27287,1460,31,1714,209,863,173,277,257,147,2670,42,97,18,183,56,76,1853,28,331,304,21,83,254,373,177,723,30,2805,252,28,33,598,7697,23,99,338,1873,564,49,1330,26035,9,26,3453,69,359,477,67,243,160,39,269,16,39,1572,54,20861,103,62,10603,12089,818,220,27,59,68,2472,185,29,116,1000,251,1137,55,22,1274,1759,3390,75,46,500,70,4919,96,31743,34,71,156,741,215,15090,9,17,119,31096,82,10,15,30414,34,4337,135,41,906,13,260,12190,56,53,15689,974,159,14,1663,174,118,162,8284,2074,205,130,1238,4373,23,30,7381,3628,953,22,225,1739,1320,225,1593,65,195,42,408,282,10242,53,27,101,43,16,3422,7,14,251,2615,17,25,2004,60,64,153,1440,76,12093,1790,319,87,3563,102052,120,23,18,17,3106,116,110,69,1083,36784,78,88,23374,28,18,28,555,46,293,1025,71,83,3166,49,106,279,15,47,2146
104-7316-122_1,ATRT,6110,35338,69,8009,256,23367,356,19455,39,246,61,36,154,39,45,48,343,63,363,1697,47,242,44,384,236,67,226,2049,19894,29,47,217,3331,79,90,22540,56,359,45047,193,27872,34,99,12341,34241,52,71,22,49,9881,314,275,29,52514,5498,43,8339,32,43,2132,251,280,20,162,91,149,1428,51,66,43,150,31,37,189,6968,95,348,10581,1556,357,9662,44,1541,15460,30,497,1148,57,33,26,28,292,54,34,36,37,42,28354,177,46,8507,347,55,568,52,9509,70,1378,31,1754,27,1015,86,230,66,47,51,160,51,826,34,362,13066,1778,489,237,76,68,350,314,23464,1129,24,858,153,660,124,242,255,474,2136,70,78,34,621,265,583,144,106,920,673,44,181,258,711,802,177,30,5641,86,40,40,705,4960,106,191,466,1697,240,62,7621,54,37,28,2993,87,396,425,71,151,117,49,173,48,34,1537,72,16450,45,69,9955,5877,108,261,88,53,130,446,176,52,159,1376,242,1003,123,55,1565,2195,4312,145,18,23142,73,1939,39,16525,30,76,95,930,170,17378,28,34,180,34723,239,25,311,44,37,38,100,45,52,35,338,9694,56,444,2279,306,88,33,3295,23,176,214,11073,578,138,130,146,5348,17,82,4954,16517,195,61,169,285,2456,95,16429,58,1950,71,103,198,9072,71,27,327,64,42,3265,30,25,577,566,34,46,68737,39,82,153,428,40,9392,326,572,295,92,53161,75,42,32,44,2690,22,238,86,1040,29211,81,75,16594,60,52,48,690,70,263,1099,52,30,2074,64,43,386,37,623,2946
104-7316-2186_1,ATRT,23414,13688,18,4700,366,32221,530,29034,3,71,245,50,60,0,15,5,108,24,25,116,9213,11,13,442,36,1112,5423,403,15673,2,22,179,3861,10,146,2130,92,7,1825,13,18552,8,46,11184,17152,12,7,3,33,7561,146,537,18,34428,28073,846,10169,15,10,588,194,1074,114,62,66,614,592,17,20,17,49,1,4,8,25829,8,1306,29663,1166,81,11497,1,1150,8665,12,767,378,6,25,2,1,7,11,0,51,4,33,67401,161,11,8513,206,16,18,10,5,4,1777,12,496,13,96,9,31,22,21,12,189,27,206,3,2,14868,2057,225,15,135,143,260,410,11148,756,8,990,292,581,63,57,947,44,2094,40,38,241,61,103,240,54,41,50,62,3,91,472,53,80,162,15,1928,60,7,16,386,2030,16,22,359,518,200,40,25651,671,2,8,2138,57,334,396,41,282,103,12,403,0,4,3134,89,32836,182,38,20033,26044,2773,347,16,37,305,428,201,90,51,1193,55,1392,4,0,1042,1282,2109,9,39,319,21,1203,17,16288,10,46,179,380,66,52002,5,16,16,15740,19,5,152,10114,72,1010,87,12,852,5,139,10186,13,309,1115,121,13,4,1611,167,55,159,8862,1347,114,34,7096,2379,18092,17,10960,12425,236,9,457,131,1041,51,1947,26,196,33,578,383,12609,20,12,191,32,55,1673,3,0,43,98,3,11,10318,19,31,154,2528,7,7825,519,278,13,434,154181,14,9,3,13,25621,149,112,6,356,33277,53,38,14478,3,4,10,464,98,176,265,37,70,2187,28,13,118,10,17,893
104-7316-2933_1,ATRT,18313,11695,2,2861,599,52136,726,51753,1785,650,1933,2378,91,52,28,215,973,42,23,130,2,226,6,646,94,4433,8420,447,21341,1,471,4321,14568,2,89,5521,46,37,4163,30,20942,25,108,24381,20147,18,7,0,130,18862,227,1122,16,83810,29487,203,31094,84,5,4552,286,2683,156,793,91,322,1121,36,200,1422,2632,13,0,106,9430,59,214,46790,3441,203,15323,36,3180,8945,152,2304,77,0,119,1,1,8,913,1,35,3,29,83488,472,80,36193,86,17,123,8,3020,96,1475,11,8029,78855,190,6,102,42,7,5,170,307,349,2,18,19692,2709,586,41,98,9,91,431,4856,384,12,1426,305,1363,212,173,99,101,465,27,120,283,118,29,56,3818,6,105,133,3,135,511,150,245,1711,29,3462,97,4,9,517,4559,21,97,419,2695,467,48,6347,84,0,1,2386,360,812,403,62,462,103,44,586,6,8,2141,143,32135,150,45,27993,23123,1554,482,10,49,19,700,21,74,80,703,83,2495,32,8,1193,1621,2751,109,4,92763,19,5238,83,27906,4,90,177,907,202,44066,19,0,17,24750,37,8,285,1682,73,9419,70,7,151,4,87,12711,23,41,1684,73,1253,6,844,59,87,195,24626,1761,166,127,3856,3789,6886,149,24581,7484,1407,39,593,1322,10586,258,865,32,72,93,489,640,30348,43,20,168,44,90,8809,47,0,139,2293,4,25,500,15,52,374,779,41,17406,408,491,51,1086,277829,37,59,4,12,14878,18,230,21,193,17515,53,24,32573,5,5,16,1086,24,161,1392,41,13,3467,118,1,240,14,637,2241
104-7316-1771_1,ATRT,18500,12093,19,3058,245,20021,430,43069,9,726,8,13,109,3,3,5,501,39,40,219,4,41,11,504,677,7,7314,558,34671,0,8,1911,10365,729,152,5900,51,26,6199,226,26889,34,221,36431,25578,28,65,21,78,16869,114,2463,59,36873,10006,25,11733,0,1,6424,390,299,20,72,100,242,1110,2,0,86,201,0,0,24,19718,14,271,17102,1571,189,21786,0,1732,10824,2,964,109,4,5,1,0,12,38,0,12,3,18,41827,167,39,14602,97,13,11,6,16,0,7316,70,1018,8,1362,90,214,35,22,13,218,1907,411,1,3,26074,3967,1011,204,152,47,217,559,12368,677,7,2374,431,3034,375,280,343,987,3101,150,168,2,1028,38,57,293,12,1571,1258,8,159,410,801,929,638,39,2223,55,3,19,486,5409,76,128,270,4242,506,51,97635,19,96,4,4714,87,427,1483,47,213,174,34,381,71,15,2360,92,27166,59,50,20901,13126,552,682,169,85,764,14110,31,514,168,2730,160,2633,560,67,1741,2321,4178,23,31,4015,27,3444,80,14713,3,90,117,298,66,26783,2,4,271,31115,369,2,18,3252,729,301,113,15,274,10,415,15260,107,132,1692,23460,42,2,1634,13,82,252,14429,1695,197,395,58235,6263,520,0,15548,10014,1574,48,288,852,55,329,2111,75,246,71,692,1083,14844,28,15,238,53,2,9279,0,3,1440,22,52,26,292,28,55,371,3677,31,12026,537,553,370,10173,34311,456,24,4,18,4262,185,228,122,785,41772,50,58,13272,48,49,13,1010,57,222,1296,66,8,5145,1288,32,869,37,13,4088
104-7316-918_1,ATRT,4476,22410,61,29670,383,35418,488,22992,3,65,3,0,165,0,1,1,141,11,21,170,2,59,1,862,130,3,2907,755,14570,3,48,58,525,5,76,25987,64,143,24126,177,21901,3,40,15147,7839,6,34,0,14,9162,127,134,24,55251,3883,2,7184,1,2,463,242,287,1,102,84,75,3614,0,0,98,172,1,14,53,3849,30,88,7862,727,117,8691,1,2652,3704,0,93,152,21,244,0,1,35,23,0,22,3,34,23778,29,5,8169,5247,16,21,0,1,0,3120,27,475,0,264,15,125,8,1,0,161,222,277,1,0,5743,795,82,60,120,8,112,194,5883,334,7,454,259,629,47,89,57,106,298,46,14,12,76,80,138,198,27,404,355,4,81,572,162,260,115,9,2043,400,10,9,1945,2439,20,91,622,1022,230,24,6701,10083,1,2,2900,25,110,91,41,95,43,14,454,12,1,441,17,3590,3,16,3585,3191,84,1171,25,36,1,101,35,66,5,262,139,516,15,7,1215,1656,3014,27,0,270,19,461,8,5653,0,107,85,189,67,13276,4,6,43,16792,138,0,1003,10,0,502,20,1,14,14,207,3422,27,133,20167,4,50,1,6581,14,27,65,6948,689,80,61,77,5434,0,10,1912,9492,81,19,1019,139,816,64,1250,34,122,66,37,30,5251,51,28,88,52,0,1053,0,1,126,222,6,24,5335,16,12,15,49,20,13654,2128,175,97,62,472562,100,5,4,21,2266,9,127,35,55,6565,57,33,11197,8,0,23,336,5,86,545,17,2,679,205,56,21,57,5,1894
104-7316-376_1,ATRT,20078,28799,7,1096,13,310,4,277,3,380,43,10,59,0,2,1,441,25,246,890,6,55,6,111,66,26,1350,970,22623,3,3,255,3477,5,101,1209,37,3,1884,26,28855,15,127,12709,40289,30,3,1,81,25584,151,370,1,19480,21204,7,32146,14,4,3419,454,1222,50,389,107,337,353,3,64,9,41,3,6,48,14487,11,678,40251,3814,51,12020,1,1240,12009,26,1701,1285,1,22,0,19,81,114,2,21,1,9,100331,471,52,35245,3922,16,1170,9,29392,928,2004,16,590,1,181,11,48,36,0,2,170,33,557,2,7,18838,2674,1085,20,32,15,81,771,2209,109,12,1698,151,1298,198,242,247,53,4773,32,114,4,131,79,156,80,28,132,45,7,176,119,105,72,210,30,2689,76,4,31,124,27414,14,8,398,3086,271,34,37159,19,1,7,2373,100,572,594,58,167,182,11,87,2,11,2693,51,27940,36,66,16420,9122,160,143,15,83,28,108,256,211,140,1120,111,2553,36,4,1221,1564,2969,26,110,2705,13,1991,28,8013,55,59,51,248,87,63590,4,4,46,11462,44,2,93,203,5,71,135,11,52,3,186,8755,13,216,3271,24,181,5,646,2,350,195,19024,1379,336,132,88,3157,7,25,14758,12585,376,73,53,282,2698,269,8004,85,891,56,198,634,20850,17,9,148,56,0,4769,1,17,253,287,1,17,2529,34,32,95,346,16,5160,1490,338,61,3447,7027,22,36,6,11,10898,295,98,7,555,62750,39,68,12581,2,1,2438,801,66,313,1172,31,8,2892,1270,1,813,16,1465,4422
104-7316-1781_1,ATRT,17126,29585,7,1320,320,50495,862,50585,6,352,38,20,72,0,1,8,330,44,163,753,431,11,11,575,276,41,7235,1668,27952,2,3,891,13496,2,161,21595,84,168,33238,56,38063,12,112,14574,32180,3,27,3,95,20533,485,251,12,55697,6577,8,7058,1,2,2094,698,175,5,73,112,268,2851,4,6,107,212,2,3,9,101949,13,1193,13044,932,468,30841,3,2077,16215,0,484,235,1,22,3,4,0,169,1,9,7,8,18151,93,19,5612,32,20,3,20,16,6,30544,309,909,5,360,25,239,38,22,21,290,274,860,1,11,19320,2664,720,69,319,6,195,649,12134,720,10,2182,424,3737,563,522,153,372,6799,29,195,17,241,26,25,326,5,404,458,7,163,1172,316,282,1392,31,3739,181,2,35,1302,12838,32,49,384,1170,939,90,22253,23,3,11,3599,29,871,777,73,598,184,18,380,15,10,1925,50,22095,78,69,9312,10139,641,669,40,109,28,18747,2858,81,161,3809,88,1767,109,18,1467,2005,3585,6,42,463,16,5526,109,18121,4,159,126,499,112,19715,26,73,55,49955,71,2,17,7586,17,15,123,13,124,6,152,20743,54,151,1756,43,269,3,895,28,254,430,23522,1564,362,72,1007,2567,1322,5,6933,5350,912,32,138,1515,73,512,4099,71,422,37,1047,332,24436,8,31,119,46,7,3497,9,8,316,4,8,32,3282,37,68,305,1328,100,10477,382,646,85,15645,98252,197,18,9,12,3071,235,215,23,1730,40744,63,121,18104,23,3,9,1370,34,248,973,79,14,3180,422,13,221,25,22,3870
104-7316-878_1,ATRT,10242,18291,67,4657,292,32358,528,30174,758,515,1348,2234,85,79,86,62,769,83,62,192,58,400,69,696,209,4274,5490,1060,16554,63,48,510,2994,94,167,15357,146,127,17372,167,22934,68,210,12294,5772,69,58,49,86,17346,178,468,51,29434,7593,112,8383,92,81,3249,333,448,69,212,161,362,1160,69,183,3331,7128,133,53,477,41495,305,328,12853,1151,200,8521,160,1241,6831,131,726,1078,101,172,78,65,57,184,46,132,63,99,28945,209,81,12517,74,68,2593,159,1424,60,5287,90,2073,67,546,73,325,56,55,66,221,1324,463,83,61,11647,2371,440,163,108,75,75,480,1152,139,56,1220,242,1716,308,129,160,337,3281,164,148,92,228,120,148,12824,85,439,331,65,403,426,442,436,501,52,1875,91,67,66,561,1199,120,504,209,1055,323,104,14295,1213,65,38,2502,93,415,506,89,171,146,48,179,79,65,1562,101,14917,72,109,9573,7901,366,414,121,115,203,43960,125,137,86,703,297,1202,157,88,1361,1640,2380,563,134,14200,75,1771,71,11289,54,137,264,323,76,20452,60,67,63,19985,169,57,83,5293,225,1492,158,48,2174,66,339,5383,118,268,1046,340,318,76,1494,93,159,186,11210,1630,161,136,21495,2957,5381,256,4805,9636,622,93,493,360,14641,221,1195,75,163,86,223,660,11029,165,62,118,85,76,5109,74,53,237,2067,69,49,4673,73,67,116,6958,133,9084,422,340,150,6283,124696,195,66,41,47,3575,214,196,98,878,22938,72,147,8910,84,49,103,760,78,139,1426,63,70,5716,125,42,270,82,200,2216
104-7316-2141_1,ATRT,16763,17185,32,4881,134,9933,153,8484,18,154,35,39,82,0,0,3,188,21,75,367,79,155,23,537,268,124,4097,964,20885,0,421,2864,13549,74,114,6843,65,20,4855,190,28491,19,139,19383,25683,28,26,1,131,20345,336,392,3,130473,56607,1201,35917,294,4,886,384,6655,277,434,92,239,1289,10,635,1459,3117,28,0,157,12425,56,415,70145,4143,283,13325,36,3392,14964,392,1864,238,6,37737,381,2,229,696,0,16,11,27,144826,505,79,46017,1386,13,282,2,3809,19,2201,19,670,18472,823,36,408,29,1,1,309,134,350,2,18,23686,3416,637,97,84,31,172,541,9923,932,4,1813,205,2046,273,469,302,236,1554,27,94,680,591,84,102,5051,30,611,564,4,327,446,719,923,1091,34,6494,197,0,7,567,2768,52,373,417,3338,460,41,29246,139,0,6,1202,287,719,535,76,302,146,51,614,14,7,2636,64,24376,30,57,15128,10441,203,467,30,84,26,437,192,234,245,251,182,3965,253,21,1216,1628,3235,153,3,2734,31,4641,70,81807,2,119,1735,864,269,50455,2,10,118,36719,308,0,36,22562,116,6915,110,10,137,12,185,16170,91,114,2948,346,1250,7,5932,132,123,201,28460,1199,154,97,8011,7753,2951,34,22816,10428,918,26,139,521,2584,276,2416,34,199,68,292,774,33192,802,31,112,102,22,2258,6,6,507,788,63,33,3769,22,38,140,611,45,14725,1247,744,229,179,81280,57,47,5,13,35132,72,235,77,678,19904,93,45,41622,14,1,4,578,21,206,1773,26,46,4782,474,13,285,143,1090,6887
